stage	variant	axis	seed	experiment_id	steps	lr	global_batch_size	warmup_steps	warmup_ratio	max_audio_seconds	target_audio_tokens_per_update	validation_split	full_pack_max_samples	full_pack_eval_every	checkpoint_interval	config	modal_path	description	command_str
screen5k	anchor	anchor	0	exp-20260316-135630-screen5k-anchor-anchor-s0	5000	5e-05	16	200	0.04	16	25600	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Baseline config for all English-only Q8/4096 comparisons.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-anchor-anchor-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant anchor --track english_only --axis anchor --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Baseline config for all English-only Q8/4096 comparisons.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,anchor,anchor,seed0 --override optimizer.lr=5e-05 --override training.global_batch_size=16 --override training.max_audio_seconds=16 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=200 --override training.seed=0 --override training.deterministic=true"
screen5k	anchor	anchor	1	exp-20260316-135630-screen5k-anchor-anchor-s1	5000	5e-05	16	200	0.04	16	25600	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Baseline config for all English-only Q8/4096 comparisons.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-anchor-anchor-s1 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant anchor --track english_only --axis anchor --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Baseline config for all English-only Q8/4096 comparisons.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,anchor,anchor,seed1 --override optimizer.lr=5e-05 --override training.global_batch_size=16 --override training.max_audio_seconds=16 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=200 --override training.seed=1 --override training.deterministic=true"
screen5k	lr_2e-5	lr	0	exp-20260316-135630-screen5k-lr-lr-2e-5-s0	5000	2e-05	16	200	0.04	16	25600	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Lower learning-rate challenger.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-lr-lr-2e-5-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant lr_2e-5 --track english_only --axis lr --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Lower learning-rate challenger.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,lr,lr_2e-5,seed0 --override optimizer.lr=2e-05 --override training.global_batch_size=16 --override training.max_audio_seconds=16 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=200 --override training.seed=0 --override training.deterministic=true"
screen5k	lr_1e-4	lr	0	exp-20260316-135630-screen5k-lr-lr-1e-4-s0	5000	0.0001	16	200	0.04	16	25600	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Higher learning-rate challenger.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-lr-lr-1e-4-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant lr_1e-4 --track english_only --axis lr --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Higher learning-rate challenger.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,lr,lr_1e-4,seed0 --override optimizer.lr=0.0001 --override training.global_batch_size=16 --override training.max_audio_seconds=16 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=200 --override training.seed=0 --override training.deterministic=true"
screen5k	gbs_8	global_batch_size	0	exp-20260316-135630-screen5k-global-batch-size-gbs-8-s0	5000	5e-05	8	200	0.04	16	12800	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Smaller effective update size.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-global-batch-size-gbs-8-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant gbs_8 --track english_only --axis global_batch_size --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Smaller effective update size.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,global_batch_size,gbs_8,seed0 --override optimizer.lr=5e-05 --override training.global_batch_size=8 --override training.max_audio_seconds=16 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=200 --override training.seed=0 --override training.deterministic=true"
screen5k	gbs_32	global_batch_size	0	exp-20260316-135630-screen5k-global-batch-size-gbs-32-s0	5000	5e-05	32	200	0.04	16	51200	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Larger effective update size.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-global-batch-size-gbs-32-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant gbs_32 --track english_only --axis global_batch_size --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Larger effective update size.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,global_batch_size,gbs_32,seed0 --override optimizer.lr=5e-05 --override training.global_batch_size=32 --override training.max_audio_seconds=16 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=200 --override training.seed=0 --override training.deterministic=true"
screen5k	maxsec_12	max_audio_seconds	0	exp-20260316-135630-screen5k-max-audio-seconds-maxsec-12-s0	5000	5e-05	16	200	0.04	12	19200	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Shorter audio crop challenger.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-max-audio-seconds-maxsec-12-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant maxsec_12 --track english_only --axis max_audio_seconds --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Shorter audio crop challenger.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,max_audio_seconds,maxsec_12,seed0 --override optimizer.lr=5e-05 --override training.global_batch_size=16 --override training.max_audio_seconds=12 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=200 --override training.seed=0 --override training.deterministic=true"
screen5k	maxsec_20	max_audio_seconds	0	exp-20260316-135630-screen5k-max-audio-seconds-maxsec-20-s0	5000	5e-05	16	200	0.04	20	32000	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Longer audio crop challenger.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-max-audio-seconds-maxsec-20-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant maxsec_20 --track english_only --axis max_audio_seconds --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Longer audio crop challenger.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,max_audio_seconds,maxsec_20,seed0 --override optimizer.lr=5e-05 --override training.global_batch_size=16 --override training.max_audio_seconds=20 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=200 --override training.seed=0 --override training.deterministic=true"
screen5k	warmup_2pct	warmup_ratio	0	exp-20260316-135630-screen5k-warmup-ratio-warmup-2pct-s0	5000	5e-05	16	100	0.02	16	25600	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Short warmup challenger.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-warmup-ratio-warmup-2pct-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant warmup_2pct --track english_only --axis warmup_ratio --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Short warmup challenger.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,warmup_ratio,warmup_2pct,seed0 --override optimizer.lr=5e-05 --override training.global_batch_size=16 --override training.max_audio_seconds=16 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=100 --override training.seed=0 --override training.deterministic=true"
screen5k	warmup_8pct	warmup_ratio	0	exp-20260316-135630-screen5k-warmup-ratio-warmup-8pct-s0	5000	5e-05	16	400	0.08	16	25600	validation	1000	5000	5000	codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml	mimi/ablation_emilia40k_q8_s4096_en	Long warmup challenger.	"/home/pranav/TINYYAYAy/llama-mimi/.venv/bin/python scripts/exp/launch.py --mode modal --config codecs/mimi/configs/tinyaya_mimi_q8_s4096_emilia40k_en.toml --modal-path mimi/ablation_emilia40k_q8_s4096_en --experiment-id exp-20260316-135630-screen5k-warmup-ratio-warmup-8pct-s0 --campaign-id emilia40k-wave1 --phase mimi_q8_s4096_emilia40k_en_ablation --stage screen5k --variant warmup_8pct --track english_only --axis warmup_ratio --family mimi_q8_s4096 --question 'Which English-only Q8/4096 settings improve held-out TTS quality on the frozen Emilia-40k subset?' --hypothesis 'Long warmup challenger.' --owner codex --codec mimi --tags tinyaya,tts,mimi,q8,4096,emilia40k,english,screen5k,warmup_ratio,warmup_8pct,seed0 --override optimizer.lr=5e-05 --override training.global_batch_size=16 --override training.max_audio_seconds=16 --override training.steps=5000 --override 'training.dataset_path=""/vol/data/emilia_en40k_mimi_q8""' --override 'training.dataset=""tts_pretok""' --override 'validation.dataset=""tts_pretok""' --override 'validation.split=""validation""' --override validation.seq_len=4096 --override validation.local_batch_size=2 --override training.local_batch_size=1 --override training.seq_len=4096 --override training.language_tokens=false --override 'training.languages=[]' --override training.sample_generate_every=500 --override training.sample_generate_num_samples=2 --override training.sample_generate_do_sample=false --override training.sample_generate_restrict_audio_vocab=true --override training.log_target_media=true --override training.log_unconstrained_named_media=false --override model.num_quantizers=8 --override tts_eval.enabled=true --override tts_eval.eval_every=5000 --override tts_eval.full_pack_enabled=true --override tts_eval.full_pack_eval_every=5000 --override tts_eval.full_pack_max_samples=1000 --override checkpoint.enable_checkpoint=true --override checkpoint.interval=5000 --override lr_scheduler.warmup_steps=400 --override training.seed=0 --override training.deterministic=true"
